Timeline,olbi1,olbi2,olbi2r,olbi3,olbi3r,olbi4,olbi4r,olbi5,olbi6,olbi6r,olbi7,olbi8,olbi8r,olbi9,olbi9r,olbi10,olbi11,olbi11r,olbi12,olbi12r,olbi13,olbi14,olbi15,olbi16,olbi16r,Gender,Age,Education_level
16342,3,3,2,3,2,3,2,1,4,1,3,3,2,3,2,2,4,1,4,1,3,1,2,2,3,2,1962,5
16342,2,3,2,4,1,4,1,2,2,3,1,4,1,4,1,2,4,1,4,1,2,1,2,1,4,1,1960,2
16342,2,1,4,4,1,1,4,2,4,1,1,2,3,2,3,4,3,2,2,3,3,2,2,2,3,2,1970,6
16342,2,1,4,2,3,1,4,4,1,4,4,2,3,1,4,2,2,3,3,2,4,3,2,3,2,2,1975,6
16342,2,4,1,3,2,3,2,1,3,2,1,4,1,3,2,2,4,1,4,1,2,1,2,1,4,2,1958,5
16342,3,2,3,3,2,2,3,3,3,2,3,2,3,1,4,2,3,2,3,2,4,2,3,2,3,2,1980,3
16342,1,4,1,4,1,4,1,4,4,1,2,3,2,3,2,1,4,1,3,2,4,2,1,1,4,2,1961,5
16342,3,3,2,3,2,2,3,2,3,2,3,2,3,2,3,3,3,2,3,2,3,2,3,2,3,2, ,5
16342,1,3,2,4,1,1,4,3,4,1,1,2,3,3,2,4,4,1,3,2,4,1,1,2,3,1,1969,5
16342,3,2,3,2,3,3,2,2,2,3,3,2,3,2,3,2,3,2,3,2,4,2,2,3,2,2,1977,6
16342,1,4,1,4,1,3,2,2,4,1,1,4,1,4,1,2,4,1,3,2,3,3,2,1,4,1,1958,4
16342,4,1,4,1,4,1,4,4,4,1,4,1,4,4,1,4,4,1,1,4,4,1,1,4,1,2, ,2
16342,2,1,4,1,4,1,4,2,1,4,4,1,4,1,4,3,1,4,1,4,4,2,4,4,1,2,1978,4
16342,3,2,3,3,2,1,4,2,2,3,2,2,3,2,3,3,3,2,2,3,4,2,2,2,3,2,1974,5
16342,3,3,2,4,1,3,2,3,3,2,2,3,2,3,2,3,3,2,3,2,4,2,3,3,2,2,1974,5
16342,2,3,2,4,1,4,1,2,3,2,2,3,2,3,2,1,4,1,2,3,3,2,2,2,3,2,1962,5
16342,1,1,4,4,1,1,4,3,4,1,2,2,3,1,4,1,3,2,3,2,4,1,2,3,2,1,1961,4
16342,1,1,4,3,2,4,1,1,3,2,1,3,2,3,2,2,3,2,3,2,1,1,1,1,4,2,1964,2
16342,1,1,4,4,1,3,2,2,4,1,1,2,3,2,3,3,3,2,1,4,4,1,1,3,2,2,1976,5
16342,2,4,1,3,2,1,4,2,4,1,1,4,1,4,1,2,4,1,3,2,3,1,2,1,4,2,1959,5
16342,1,4,1,3,2,2,3,3,4,1,1,2,3,4,1,1,4,1,3,2,4,2,2,1,4,2,1979,5
16342,1,3,2,4,1,2,3,2,4,1,1,2,3,4,1,3,4,1,1,4,2,1,1,1,4,2,1969,2
16342,1,1,4,4,1,3,2,1,3,2,1,4,1,2,3,3,4,1,3,2,4,1,2,1,4,1,1973,5
16342,3,4,1,4,1,3,2,2,4,1,2,4,1,3,2,2,4,1,4,1,4,2,3,2,3,2,1966,5
16343,3,1,4,2,3,1,4,4,3,2,4,1,4,1,4,4,1,4,1,4,4,4,4,4,1,2,1974,4
16343,1,3,2,3,2,2,3,2,3,2,1,3,2,3,2,2,4,1,3,2,3,1,2,1,4,2,1966,5
16343,3,1,4,4,1,1,4,3,4,1,2,2,3,2,3,3,2,3,1,4,3,1,2,2,3,2,1968,4
16343,4,2,3,4,1,2,3,2,4,1,3,2,3,2,3,3,3,2,2,3,2,1,2,2,3,2,1968,4
16343,2,3,2,4,1,4,1,2,4,1,2,3,2,4,1,2,4,1,4,1,4,1,1,1,4,2,1962,5
16343,2,2,3,4,1,3,2,3,3,2,2,4,1,4,1,2,4,1,3,2,4,2,3,3,2,2,1965,2
16343,2,1,4,4,1,4,1,2,3,2,2,4,1,4,1,1,4,1,4,1,2,1,2,2,3,2,1968,2
16343,3,2,3,3,2,1,4,2,2,3,2,1,4,2,3,2,4,1,4,1,4,1,3,3,2,2,1969,2
